scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
Funeral Assistance (A.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/faabocwwb,Assam,myscheme,"Under this scheme, financial assistance shall be given to the nominees/dependents of a deceased registered worker, towards funeral expenses.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Financial Assistance,Funeral,Labour,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,,
Funeral Assistance (ANBOCWWB),https://www.myscheme.gov.in/schemes/faanbocwwb,Andaman and Nicobar Islands,myscheme,"The scheme provides financial assistance to the nominees or dependents of deceased workers who were registered under the A&N Islands Building and Other Construction Workers Welfare Board, towards their funeral expenses.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Financial Assistance,Funeral,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
Funeral Assistance (CBOCWWB),https://www.myscheme.gov.in/schemes/facbocwwb,Chandigarh,myscheme,"Under this scheme, financial assistance shall be given to the legal heirs, in case of death of registered workers under the CBOCWWB.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Construction Worker,Death,Funeral Assistance,Labour,Legal Heirs,Financial Assistance / Grant,Unorganized Sector Worker,Cbocwwb,Registered Workers,Case,,,,,
Funeral Assistance (GBOCWWB),https://www.myscheme.gov.in/schemes/fa-gbocwwb,Goa,myscheme,"""Funeral Assistance (GBOCWWB)"" is a Welfare Scheme by the Goa Building and Other Construction Workers Welfare Board of the Department of Labour and Employment, Government of Goa. Through this scheme, the nominee/dependant of the deceased worker is provided with financial assistance of ₹5,000/-.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Crisis,Death,Financial Assistance,Funeral,Labour,Employment & Skill Development,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
Funeral Assistance (HBOCWWB),https://www.myscheme.gov.in/schemes/fahbocwwb,Haryana,myscheme,"Under this scheme, the “Haryana Building & Other Construction Workers Welfare Board” (HBOCWWB) provides financial assistance for funeral expenses to the nominee or legal heir of a registered worker in the event of their death.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Financial Assistance,Funeral,Labour,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,
Funeral Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/fasgbocwwb,Gujarat,myscheme,The objective of this scheme is to provide financial assistance to the heir of a deceased construction worker registered with the Gujarat Building and Other Construction Worker’s Welfare Board in case of death during the ongoing membership.,Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Financial Assistance,Funeral,Labour,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,
Funeral Assistance Scheme (Madhya Pradesh),https://www.myscheme.gov.in/schemes/fasmp,Madhya Pradesh,myscheme,"Launched on 13th August 2013, the ""Funeral Assistance Scheme"" by the Department of Social Justice and Empowerment, Govt. Madhya Pradesh provides ₹3,000/- for the last rites of destitute or unclaimed bodies.  The scheme also supports families registered under labour schemes.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Death,Financial Assistance,Funeral,Poor,Social Welfare,BPL / EWS / Low Income,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,,
Funeral Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/fas-pbaocwwb,,india_only,"The ""Funeral Assistance"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board, Labour Department, Union Territory of Puducherry. Through this scheme, the Board may sanction an amount of ₹7,000/- to the nominees/dependents of the deceased Construction Worker.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Funeral,Financial Assistance,Construction,Worker,DBT,Death,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,
Funeral Assistance Scheme (PULWS),https://www.myscheme.gov.in/schemes/fas-pulws,Puducherry,myscheme,"The ""Funeral Assistance Scheme (PULWS)"" is a Welfare Scheme by the Puducherry Unorganised Labourers' Welfare Society. The Society extends ₹7,000/- to the nominee of the deceased Unorganised Worker towards meeting the funeral expenses. The amount is credited through DBT into the bank account.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Crisis,Death,Financial Assistance,Funeral,Social Welfare,Worker,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
Funeral Assistance Scheme for Unorganized Workers (Except Construction Workers),https://www.myscheme.gov.in/schemes/fasuw-ecw,Gujarat,myscheme,"The scheme aims to provide financial assistance to heirs of deceased unorganized sector workers for funeral expenses. It offers ₹10,000/- to eligible heirs of e-Shram card holders.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Death,Financial,Funeral,Support,Unorganized,Worker,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,,
Funeral Assistance for the Construction Worker,https://www.myscheme.gov.in/schemes/faftcwsb,Sikkim,myscheme,"The ""Funeral Assistance for the Construction Workers"" by the Sikkim BOCW Welfare Board, Labour Department, is a welfare scheme of the board that provides funeral assistance to the nominees/ dependents, in case of death of the registered member.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Construction Workers,Death,Financial Assistance,Funeral Support,Labour,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
Funeral Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/facw,,india_only,"The ""Funeral Assistance for the Construction Workers"" by the Delhi Building and Other Construction Workers Welfare Board, Labour Department, Delhi, is a welfare scheme that provides funeral assistance of ₹10,000/- in case of death of a member to their nominees/dependents.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Labour,Funeral Assistance,Construction Workers,Financial Assistance,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,,
Funeral Assistance- Haryana Silicosis Board,https://www.myscheme.gov.in/schemes/fa-hsb,Haryana,myscheme,"Under this scheme, financial assistance of ₹15,000/- is given to the dependent/nominee of a deceased worker, who was confirmed to have Silicosis by the Silicosis Diagnosis Board, Haryana, for performing the funerary rituals.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Death,Financial Assistance,Funeral,Silicosis,Worker,Financial Assistance / Grant,Unorganized Sector Worker,Rituals,Board Haryana,Diagnosis,,,,,
Funeral Benefit (MBOCWWB),https://www.myscheme.gov.in/schemes/fbmbocwwb,Meghalaya,myscheme,"Under the scheme, financial assistance of ₹5,000/- shall be provided to nominees or dependents of deceased registered construction workers, towards funeral expenses.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Financial Assistance,Funeral,Labour,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,,
Funeral Expenses for the Construction Workers,https://www.myscheme.gov.in/schemes/feftcwwb,West Bengal,myscheme,"The “Funeral Expenses for the Construction Workers” scheme by the BOCW Welfare Board, Labour Department,West Bengal, is a welfare scheme that provides financial assistance for funeral expenses to the nominees of a deceased registered member.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Funeral Expenses,Labour,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
Funeral Financial Assistant (APB&OCWWB),https://www.myscheme.gov.in/schemes/ffaapbandocwwb,Arunachal Pradesh,myscheme,"The scheme “Funeral Financial Assistant” was started by the Department of Labour and Employment, Govt. of Arunachal Pradesh for the registered workers of Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB).",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Construction Worker,Death,Financial Assistance,Funeral,Labour,Employment & Skill Development,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
Funeral Grant (Sainik Welfare),https://www.myscheme.gov.in/schemes/fg-sw,Puducherry,myscheme,"""Funeral Grant"" is a Welfare Scheme by the Armed Forces Flag Day Fund of the Department of Sainik Welfare, Puducherry. Through this scheme, funeral Assistance of ₹12,000/- or ₹10,000/- is provided in the event of death of the ex-Serviceman (ESM) or of the Widow of the ESM respectively.",Social Welfare,Women,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Widow,Death,ESM,Ex-Serviceman,Funeral,Widow,Social Welfare,Women,Public Administration / Welfare,Financial Assistance / Grant,,,,,,
Funeral Support Scheme (HPBOCWWB),https://www.myscheme.gov.in/schemes/fsphpbocwwb,,india_only,"The ""Funeral Support Scheme"" under the Labour and Employment Department, Himachal Pradesh, provides ₹20,000 to the nominees or dependents of registered beneficiaries to support funeral expenses.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Construction Workers,Building Worker,Funeral,Death,Financial Assistance,Employment & Skill Development,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,,
Funeral and Ex-Gratia (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/faexgkbocwwb,Karnataka,myscheme,"The ""Funeral and Ex-Gratia'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial assistance to the nominee of a deceased registered construction worker to cover funeral expenses and an ex-gratia payment to alleviate financial hardship.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Building Worker,Construction Worker,Death,Ex-Gratia,Funeral Assistance,Labour,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,
"Futkar Sabji, Phal-Phool Vikreta Hetu Taraju, Baat Evan Tokari Sahaayata Yojana",https://www.myscheme.gov.in/schemes/fsppv,Chhattisgarh,myscheme,"Chhattisgarh State Government started a scheme ""Futkar Sabji, Phal-Phool Vikreta Hetu Taraju, Baat Evan Tokari Sahaayata Yojana"" for unorganized worker on 15 June 2016.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Empowerment,Equipment,Financial Assistance,Financial Assistance / Grant,Unorganized Sector Worker,Sabji,Tokari Sahaayata,Worker June,Hetu,Evan,,,,,
FutureSkills Prime Incentive Program,https://www.myscheme.gov.in/schemes/fspip,Ministry of Electronics and Information Technology,myscheme,"The scheme aims to promote a novel skilling ecosystem in the country, the programme/scheme would incentivize the cost of the eligible course(s) concerned, providing authentic and accredited certifications that are acceptable in the industry.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Skill Training,Not Specified,Not Specified,Not Specified,Course,Education,Learning,Skill,Training,Skill Training,Acceptable,Authentic,Concerned,Accredited,,,,,
GEN-NEXT Support for Innovative Startups (GENESIS),https://www.myscheme.gov.in/schemes/genesis,Ministry of Electronics and Information Technology,myscheme,"The scheme aims to discover, support, grow, and accelerate successful startups in Tier-2 and Tier-3 cities, with a focus on inclusivity, accessibility, and affordability.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Capacity Building,Centres Of Excellence,Entrepreneurs,Incubation,Investment,Mentorship,Startups,Accessibility Affordability,Inclusivity,Cities,,,,,
GROUP WORKSHED SCHEME,https://www.myscheme.gov.in/schemes/gws,Ministry of Textiles,myscheme,"The objective of the scheme is to facilitate the establishment of worksheds for shuttleless looms in an existing or new cluster, which will provide the required scale of economy for business operations.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Business Operations,New Cluster,Powerloom,Weaving,Business & Finance,Facilitate Establishment,Existing New,Looms,Economy,Scale,,,,,
GST Exemption Certificate Scheme,https://www.myscheme.gov.in/schemes/gstecs,Ministry of Heavy Industries,myscheme,"""GST Exemption Certificate Scheme"" has been introduced by the Dept. of Heavy Industries, for issuing certificates to Persons with Disabilities (PwDs) having a disability percentage equal to or greater than 40%. The scheme provides GSC Concession to orthopedically disabled persons on purchase of car.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Persons with Disability,Not Specified,Car,Certificate,Concession,GST,Person With Disability,PwD,Health,Persons with Disability,,,,,,,
Gadiya Lohar Maharana Pratap Bhawan Nirman Yojana,https://www.myscheme.gov.in/schemes/glbngs,Rajasthan,myscheme,"This scheme provides financial assistance of ₹1,20,000/- in three instalments to Gadiya Lohar families in Rajasthan for the construction of permanent houses and ensuring their settlement.",Housing,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Bhawan Nirman,Financial Assistance,Gadia Lohar,House Construction,Maharana Pratap,Housing,Financial Assistance / Grant,Permanent Houses,Instalments,Settlement,,,,,
Gadiya Lohar Raw Material Purchase Grant-in-aid Scheme,https://www.myscheme.gov.in/schemes/glrmy,Rajasthan,myscheme,"Under this scheme, the state government provides financial assistance of ₹10,000/- as a one-time grant to the Gadia Lohar community of Rajasthan for purchasing raw materials and making themselves self-reliant in their business.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Blacksmiths,Business Opportunity,Financial Assistance,Raw Material,Self-reliant,Business & Finance,Financial Assistance / Grant,Lohar,One-time Grant,Materials,,,,,
Gagan Bharari Shiksha Yojana for OBC (Dhangar) Students,https://www.myscheme.gov.in/schemes/gbsyobc,Goa,myscheme,"The scheme ""Gagan Bharari Shiksha Yojana for OBC (Dhangar) Students"" by the Directorate of Social Welfare, Government of Goa aims to provide additional financial assistance to OBC (Dhangar) students to supplement their Post Matric Scholarship maintenance allowance.",Education,All,OBC,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Persons with Disability,Not Specified,Allowance,Dhangar,Disability,Education,Financial Assistance,Goa,OBC,Student,Student / Youth,Financial Assistance / Grant,Persons with Disability,,,,
